Year,AverageLifeExpectancy,MinLifeExpectancy,MaxLifeExpectancy
2000,67.93636363636364,47.8,78.1
2001,68.74166666666667,46.7,79.9
2002,68.24,46,79.9
2003,68.52499999999999,46.4,83
2004,69.71111111111111,48.1,86
2005,69.84444444444443,51.7,81
2006,69.56315789473683,54.3,81.2
2007,69.17999999999999,48.2,81.3
2008,69.59,48.7,84
2009,70.11999999999999,49.1,82
2010,69.68095238095239,49.6,84
2011,70.48095238095239,51,88
2012,71.16666666666666,56,88
2013,70.73333333333332,51.1,87
2014,71.1047619047619,51.7,89
2015,71.4,65,77.8
